"ISO3","CountryName","WorldRMSE","WorldVars","ContRMSE","ContVars"
"BGR","Bulgaria",1.1928,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.4909,"SPPOPGROW, SLTLFTOTLFEZS, SPADOTFRT, SLTLFACTIFEZS, SHDYNNMRT, SPDYNIMRTIN, SHDTHMORTMA, SHDTHIMRTFE, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPMAZS, SPPOP4549FE5Y, SPPOP7579MA5Y, SPPOP5054MA5Y, SPPOP5054FE5Y, SLFAMWORKZS, SLSRVEMPLMAZS, TXVALMRCHALZS, AGCONFERTZS, SMPOPREFGOR, SHSTAOWADFEZS"
"BLR","Belarus",1.1574,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",1.0885,"SPPOPGROW, SLTLFTOTLFEZS, SPADOTFRT, SLTLFACTIFEZS, SHDYNNMRT, SPDYNIMRTIN, SHDTHMORTMA, SHDTHIMRTFE, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPMAZS, SPPOP4549FE5Y, SPPOP7579MA5Y, SPPOP5054MA5Y, SPPOP5054FE5Y, SLFAMWORKZS, SLSRVEMPLMAZS, TXVALMRCHALZS, AGCONFERTZS, SMPOPREFGOR, SHSTAOWADFEZS"
"BLZ","Belize",0.7136,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",1.4548,"SPRURTOTLZS, SPADOTFRT, SGLAWNODCHR, SPPOP3539FE5Y, SPPOP1564FEZS, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP7074MA5Y, SPPOP5054MA5Y, SLFAMWORKMAZS, NVAGRTOTLZS, FIRESXGLDCD, SHSTAOB18MAZS, EGELCACCSURZS, NEDABDEFLZS"
"BOL","Bolivia",1.0161,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.7578,"SPADOTFRT, SPDYNIMRTFEIN, SPPOP4549FE5Y, SPPOPAG05FEIN, PANUSATLS, NYGDPFRSTRTZS, FPCPITOTL, PANUSPRVTPP, ERFSHAQUAMT, SMPOPREFG, NVINDEMPLKD, NVSRVEMPLKD"
"BRA","Brazil",0.5848,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.3058,"SPADOTFRT, SPDYNIMRTFEIN, SPPOP4549FE5Y, SPPOPAG05FEIN, PANUSATLS, NYGDPFRSTRTZS, FPCPITOTL, PANUSPRVTPP, ERFSHAQUAMT, SMPOPREFG, NVINDEMPLKD, NVSRVEMPLKD"
"BWA","Botswana",2.5993,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",1.1155,"SPADOTFRT, SGOWNPRRTIM, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPTOZS, ITCELSETSP2, NYGDPPCAPKN, SPDYNAMRTMA, NEEXPGNFSZS, SLUEMTOTLMAZS, TMVALMRCHR5ZS, AGLNDARBLZS, AGLNDARBLHA, SHSTAOWADFEZS, NVINDEMPLKD, BXGSRINSFZS"
"CHE","Switzerland",1.6306,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.1881,"SPPOPGROW, SLTLFTOTLFEZS, SPADOTFRT, SLTLFACTIFEZS, SHDYNNMRT, SPDYNIMRTIN, SHDTHMORTMA, SHDTHIMRTFE, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPMAZS, SPPOP4549FE5Y, SPPOP7579MA5Y, SPPOP5054MA5Y, SPPOP5054FE5Y, SLFAMWORKZS, SLSRVEMPLMAZS, TXVALMRCHALZS, AGCONFERTZS, SMPOPREFGOR, SHSTAOWADFEZS"
"CHL","Chile",1.5284,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",0.7043,"SPADOTFRT, SPDYNIMRTFEIN, SPPOP4549FE5Y, SPPOPAG05FEIN, PANUSATLS, NYGDPFRSTRTZS, FPCPITOTL, PANUSPRVTPP, ERFSHAQUAMT, SMPOPREFG, NVINDEMPLKD, NVSRVEMPLKD"
"CHN","China",3.6162,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",2111.9656,"SPPOPGROW, SHHTNPREVMAZS, SLTLFCACTFEZS, SPPOP3539FE5Y, SPPOP1564MAZS, SPPOP1014FE5Y, SPPOP0509MA5Y, SPPOP0509MA, SPPOPAG02MAIN, SPPOP65UPTOZS, SPDYNAMRTFE, TMVALMRCHRSZS, NYADJDMINGNZS, AGSRFTOTLK2, SLUEMTOTLMAZS, NECONTOTLZS, MSMILXPNDCN, ENURBLCTY, NVMNFTECHZSUN, TXMNFTECHZSUN, NVINDMANFCN, TXVALOTHRZSWT, SHSTAOWADFEZS"
"CIV","Cote d'Ivoire",2.5939,"SPURBGROW, SPPOPDPND, SPPOPDPNDOL, SPADOTFRT, SGHMETRVLEQ, SGLAWOBHBMRNO, SGOWNPRRTIM, SPDYNCDRTIN, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP0509FE, SPPOP2024MA5Y, SPPOP65UPMAZS, SPPOP6569FE5Y, SPPOP7579MA5Y, SPPOPAG02MAIN, SPPOP5054MA5Y, NYGDPTOTLRTZS, TGVALTOTLGDZS, NEGDITOTLCN, NYGNPPCAPPPCD, NYGNPMKTPCNAD, NYADJDCO2GNZS, SLEMP1524SPMAZS, SLUEM1524MAZS, TMVALMRCHALZS, TXVALMRCHALZS, AGPRDLVSKXD, PANUSPRVTPP, SHSTAOB18FEZS, SHSTAOWADZS, EGELCACCSURZS, EGELCACCSZS, SEPRMENRRFE",1.5495,"SPADOTFRT, SGOWNPRRTIM, SPDYNIMRTFEIN, SPPOP1014MA5Y, SPPOP1564MAZS, SPPOP0509MA5Y, SPPOP65UPTOZS, ITCELSETSP2, NYGDPPCAPKN, SPDYNAMRTMA, NEEXPGNFSZS, SLUEMTOTLMAZS, TMVALMRCHR5ZS, AGLNDARBLZS, AGLNDARBLHA, SHSTAOWADFEZS, NVINDEMPLKD, BXGSRINSFZS"
