Indicator Code,Indicator Name
SPIDIM55INDEX,Dimension 5.5: Finance
SPID422EDU,Education (UNESCO) (5 year moving average)
SPID55DIFI,Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1
SPID43GEOfirstadminlevel,Geospatial data available at 1st Admin Level
SPID31POV,GOAL 1: No Poverty (5 year moving average)
SPID310NEQL,GOAL 10: Reduced Inequality (5 year moving average)
SPID311CITY,GOAL 11: Sustainable Cities and Communities (5 year moving average)
SPID312CNSP,GOAL 12: Responsible Consumption and Production (5 year moving average)
SPID313CLMT,GOAL 13: Climate Action (5 year moving average)
SPID314LFWT,GOAL 14: Life Below Water (5 year moving average)
SPID315LAND,GOAL 15: Life on Land (5 year moving average)
SPID316INST,GOAL 16: Peace and Justice Strong Institutions (5 year moving average)
SPID317PTNS,GOAL 17: Partnerships to achieve the Goal (5 year moving average)
SPID32HNGR,GOAL 2: Zero Hunger (5 year moving average)
SPID33HLTH,GOAL 3: Good Health and Well-being (5 year moving average)
SPID34EDUC,GOAL 4: Quality Education (5 year moving average)
SPID35GEND,GOAL 5: Gender Equality (5 year moving average)
SPID36WTRS,GOAL 6: Clean Water and Sanitation (5 year moving average)
SPID37ENRG,GOAL 7: Affordable and Clean Energy (5 year moving average)
SPID38WORK,GOAL 8: Decent Work and Economic Growth (5 year moving average)
SPID39INDY,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)"
SPID417HLTH,Health/Demographic survey (Availability score over 10 years)
SPID414HOUS,"Household Survey on income, etc  (Availability score over 10 years)"
SPID424LBR,Labor Admin (ILO) (5 year moving average)
SPID15LFP,Labor force participation rate by sex and age (%)
SPID416LABR,Labor Force Survey (Availability score over 10 years)
SPID51DILG,Legislation Indicator based on PARIS21 indicators on SDG 17.18.2
SPID24NADA,NADA metadata
RAWD24NADAtext,NADA metadata link
SPID522NABY,National Accounts base year
SPID23DSAS,NSO Website - advisory/analytical services
SPID44SOPC,NSO Website - private/citizen generated data
SPID22Opennesssubscore,ODIN Open Data Openness score
SPID53DISK,PARIS21 indicator on data literacy
SPID54DIPN,Partnerships
SPIINDEXPIL1,Pillar 1 - Data Use - Score
SPIINDEXPIL2,Pillar 2 - Data Services - Score
SPIINDEXPIL3,Pillar 3 - Data Products - Score
SPIINDEXPIL4,Pillar 4 - Data Sources - Score
SPIINDEXPIL5,Pillar 5 - Data Infrastructure - Score
SPID411POPU,Population & Housing census (Availability score over 20 years)
SPID15DTTDSDPPFXPZS,Quality of Debt service data according to World Bank
RAW53DISK,Raw info for  PARIS21 indicator on data literacy
RAWD5210GSBP,Raw info for Business process
RAWD527CGOV,Raw info for Central government accounting status
RAWD525HOUS,Raw info for Classification of household consumption
RAWD523CNIN,Raw info for Classification of national industry
RAWD526EMPL,Raw info for Classification of status of employment
RAWD528FINA,Raw info for Compilation of government finance statistics
RAWD529MONY,Raw info for Compilation of monetary and financial statistics
RAWD524CPIBY,Raw info for CPI base year
RAW55DIFI,Raw info for Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1
RAW51DILG,Raw info for Legislation Indicator based on PARIS21 indicators on SDG 17.18.2
RAWD24NADA,Raw info for NADA metadata
RAWD522NABY,Raw info for National Accounts base year
RAW54DIPN,Raw info for NSO Website
RAWD21IDDS,Raw info for SDDS/e-GDDS subscription
RAWD521SNAU,Raw info for System of national accounts in use
RAWD43GEO1stadminlevel,Raw score for Geospatial data available at 1st Admin Level
RAWD43GEO2ndadminlevel,Raw score for Geospatial data available at 2nd Admin Level
RAWD22Downloadoptions,Raw score for ODIN Download Options score
RAWD22Machinereadable,Raw score for ODIN Machine Readability Score
RAWD22Metadataavailable,Raw score for ODIN Metadata Availability score
RAWD22Nonproprietary,Raw score for ODIN Non Proprietary Data Format score
RAWD22Opennesssubscore,Raw score for ODIN Open Data Openness score
RAWD22Termsofuse,Raw score for ODIN Terms of Use score
SPID15SAFEMANWATER,Safely Managed Drinking Water
SPID21GDDS,SDDS/e-GDDS subscription
SPID421SPL,Social Protection Admin (ASPIRE) (5 year moving average)
SPIINDEX,SPI Overall Score
SPID521SNAU,System of national accounts in use
RAWD412AGRICENSUS,Years of Agriculture census
RAWD415AGRISURVEYS,Years of Agriculture survey
RAWD413BIZZCENSUS,Years of Business/establishment census
RAWD418BIZZSURVEYS,Years of Business/establishment survey
RAWD417HLTHSURVEYS,Years of Health/Demographic survey
RAWD414HOUSSURVEYS,"Years of Household Survey on income, etc"
RAWD416LABRSURVEYS,Years of Labor Force Survey
RAWD411POPUCENSUS,Years of Population & Housing census
SPPOPDPND,Age dependency ratio (% of working-age population)
SPPOPDPNDOL,"Age dependency ratio, old"
SPPOPDPNDYG,"Age dependency ratio, young"
SPPOPAG00FEIN,"Age population, age 00, female, interpolated"
SPPOPAG00MAIN,"Age population, age 00, male, interpolated"
SPPOPAG01FEIN,"Age population, age 01, female, interpolated"
SPPOPAG01MAIN,"Age population, age 01, male, interpolated"
SPPOPAG02FEIN,"Age population, age 02, female, interpolated"
SPPOPAG02MAIN,"Age population, age 02, male, interpolated"
SPPOPAG03FEIN,"Age population, age 03, female, interpolated"
SPPOPAG03MAIN,"Age population, age 03, male, interpolated"
SPPOPAG04FEIN,"Age population, age 04, female, interpolated"
SPPOPAG04MAIN,"Age population, age 04, male, interpolated"
SPPOPAG05FEIN,"Age population, age 05, female, interpolated"
SPPOPAG05MAIN,"Age population, age 05, male, interpolated"
SPPOPAG06FEIN,"Age population, age 06, female, interpolated"
SPPOPAG06MAIN,"Age population, age 06, male, interpolated"
SPPOPAG07FEIN,"Age population, age 07, female, interpolated"
SPPOPAG07MAIN,"Age population, age 07, male, interpolated"
SPPOPAG08FEIN,"Age population, age 08, female, interpolated"
SPPOPAG08MAIN,"Age population, age 08, male, interpolated"
SPPOPAG09FEIN,"Age population, age 09, female, interpolated"
SPPOPAG09MAIN,"Age population, age 09, male, interpolated"
SPPOPAG10FEIN,"Age population, age 10, female, interpolated"
SPPOPAG10MAIN,"Age population, age 10, male, interpolated"
SPPOPAG11FEIN,"Age population, age 11, female, interpolated"
SPPOPAG11MAIN,"Age population, age 11, male, interpolated"
SPPOPAG12FEIN,"Age population, age 12, female, interpolated"
SPPOPAG12MAIN,"Age population, age 12, male, interpolated"
SPPOPAG13FEIN,"Age population, age 13, female, interpolated"
SPPOPAG13MAIN,"Age population, age 13, male, interpolated"
SPPOPAG14FEIN,"Age population, age 14, female, interpolated"
SPPOPAG14MAIN,"Age population, age 14, male, interpolated"
SPPOPAG15FEIN,"Age population, age 15, female, interpolated"
SPPOPAG15MAIN,"Age population, age 15, male, interpolated"
SPPOPAG16FEIN,"Age population, age 16, female, interpolated"
SPPOPAG16MAIN,"Age population, age 16, male, interpolated"
SPPOPAG17FEIN,"Age population, age 17, female, interpolated"
SPPOPAG17MAIN,"Age population, age 17, male, interpolated"
SPPOPAG18FEIN,"Age population, age 18, female, interpolated"
SPPOPAG18MAIN,"Age population, age 18, male, interpolated"
SPPOPAG19FEIN,"Age population, age 19, female, interpolated"
SPPOPAG19MAIN,"Age population, age 19, male, interpolated"
SPPOPAG20FEIN,"Age population, age 20, female, interpolated"
SPPOPAG20MAIN,"Age population, age 20, male, interpolated"
SPPOPAG21FEIN,"Age population, age 21, female, interpolated"
SPPOPAG21MAIN,"Age population, age 21, male, interpolated"
SPPOPAG22FEIN,"Age population, age 22, female, interpolated"
SPPOPAG22MAIN,"Age population, age 22, male, interpolated"
SPPOPAG23FEIN,"Age population, age 23, female, interpolated"
SPPOPAG23MAIN,"Age population, age 23, male, interpolated"
SPPOPAG24FEIN,"Age population, age 24, female, interpolated"
SPPOPAG24MAIN,"Age population, age 24, male, interpolated"
SPPOPAG25FEIN,"Age population, age 25, female, interpolated"
SPPOPAG25MAIN,"Age population, age 25, male, interpolated"
SPDYNCBRTIN,"Birth rate, crude (per 1,000 people)"
SPDYNCDRTIN,"Death rate, crude (per 1,000 people)"
SPDYNTFRTIN,"Fertility rate, total (births per woman)"
SPDYNLE00FEIN,"Life expectancy at birth, female (years)"
SPDYNLE00MAIN,"Life expectancy at birth, male (years)"
SPDYNLE00IN,"Life expectancy at birth, total (years)"
SPDYNAMRTFE,"Mortality rate, adult, female (per 1,000 female adults)"
SPDYNAMRTMA,"Mortality rate, adult, male (per 1,000 male adults)"
SPDYNIMRTIN,"Mortality rate, infant (per 1,000 live births)"
SPDYNIMRTFEIN,"Mortality rate, infant, female (per 1,000 live births)"
SPDYNIMRTMAIN,"Mortality rate, infant, male (per 1,000 live births)"
SHDYNNMRT,"Mortality rate, neonatal (per 1,000 live births)"
SHDYNMORT,"Mortality rate, under-5 (per 1,000)"
SHDYNMORTFE,"Mortality rate, under-5, female (per 1,000)"
SHDYNMORTMA,"Mortality rate, under-5, male (per 1,000)"
SMPOPNETM,Net migration
SHDTH1014,Number of deaths ages 10-14 years
SHDTH1519,Number of deaths ages 15-19 years
SHDTH2024,Number of deaths ages 20-24 years
SHDTH0509,Number of deaths ages 5-9 years
SHDTHIMRT,Number of infant deaths
SHDTHIMRTFE,"Number of infant deaths, female"
SHDTHIMRTMA,"Number of infant deaths, male"
SHDTHNMRT,Number of neonatal deaths
SHDTHMORT,Number of under-five deaths
SHDTHMORTFE,"Number of under-five deaths, female"
SHDTHMORTMA,"Number of under-five deaths, male"
SPPOP0004FE,"Population ages 00-04, female"
SPPOP0004FE5Y,"Population ages 00-04, female (% of female population)"
SPPOP0004MA,"Population ages 00-04, male"
SPPOP0004MA5Y,"Population ages 00-04, male (% of male population)"
SPPOP0014TOZS,Population ages 0-14 (% of total population)
SPPOP0014FEIN,"Population ages 0-14, female"
SPPOP0014FEZS,"Population ages 0-14, female (% of female population)"
SPPOP0014MAIN,"Population ages 0-14, male"
SPPOP0014MAZS,"Population ages 0-14, male (% of male population)"
SPPOP0014TO,"Population ages 0-14, total"
SPPOP0509FE,"Population ages 05-09, female"
SPPOP0509FE5Y,"Population ages 05-09, female (% of female population)"
SPPOP0509MA,"Population ages 05-09, male"
SPPOP0509MA5Y,"Population ages 05-09, male (% of male population)"
SPPOP1014FE,"Population ages 10-14, female"
SPPOP1014FE5Y,"Population ages 10-14, female (% of female population)"
SPPOP1014MA,"Population ages 10-14, male"
SPPOP1014MA5Y,"Population ages 10-14, male (% of male population)"
SPPOP1519FE,"Population ages 15-19, female"
SPPOP1519FE5Y,"Population ages 15-19, female (% of female population)"
SPPOP1519MA,"Population ages 15-19, male"
SPPOP1519MA5Y,"Population ages 15-19, male (% of male population)"
SPPOP1564TOZS,Population ages 15-64 (% of total population)
SPPOP1564FEIN,"Population ages 15-64, female"
SPPOP1564FEZS,"Population ages 15-64, female (% of female population)"
SPPOP1564MAIN,"Population ages 15-64, male"
SPPOP1564MAZS,"Population ages 15-64, male (% of male population)"
SPPOP1564TO,"Population ages 15-64, total"
SPPOP2024FE,"Population ages 20-24, female"
SPPOP2024FE5Y,"Population ages 20-24, female (% of female population)"
SPPOP2024MA,"Population ages 20-24, male"
SPPOP2024MA5Y,"Population ages 20-24, male (% of male population)"
SPPOP2529FE,"Population ages 25-29, female"
SPPOP2529FE5Y,"Population ages 25-29, female (% of female population)"
SPPOP2529MA,"Population ages 25-29, male"
SPPOP2529MA5Y,"Population ages 25-29, male (% of male population)"
SPPOP3034FE,"Population ages 30-34, female"
SPPOP3034FE5Y,"Population ages 30-34, female (% of female population)"
SPPOP3034MA,"Population ages 30-34, male"
SPPOP3034MA5Y,"Population ages 30-34, male (% of male population)"
SPPOP3539FE,"Population ages 35-39, female"
SPPOP3539FE5Y,"Population ages 35-39, female (% of female population)"
SPPOP3539MA,"Population ages 35-39, male"
SPPOP3539MA5Y,"Population ages 35-39, male (% of male population)"
SPPOP4044FE,"Population ages 40-44, female"
SPPOP4044FE5Y,"Population ages 40-44, female (% of female population)"
SPPOP4044MA,"Population ages 40-44, male"
SPPOP4044MA5Y,"Population ages 40-44, male (% of male population)"
SPPOP4549FE,"Population ages 45-49, female"
SPPOP4549FE5Y,"Population ages 45-49, female (% of female population)"
SPPOP4549MA,"Population ages 45-49, male"
SPPOP4549MA5Y,"Population ages 45-49, male (% of male population)"
SPPOP5054FE,"Population ages 50-54, female"
SPPOP5054FE5Y,"Population ages 50-54, female (% of female population)"
SPPOP5054MA,"Population ages 50-54, male"
SPPOP5054MA5Y,"Population ages 50-54, male (% of male population)"
SPPOP5559FE,"Population ages 55-59, female"
SPPOP5559FE5Y,"Population ages 55-59, female (% of female population)"
SPPOP5559MA,"Population ages 55-59, male"
SPPOP5559MA5Y,"Population ages 55-59, male (% of male population)"
SPPOP6064FE,"Population ages 60-64, female"
SPPOP6064FE5Y,"Population ages 60-64, female (% of female population)"
SPPOP6064MA,"Population ages 60-64, male"
SPPOP6064MA5Y,"Population ages 60-64, male (% of male population)"
SPPOP65UPTOZS,Population ages 65 and above (% of total population)
SPPOP65UPFEIN,"Population ages 65 and above, female"
SPPOP65UPFEZS,"Population ages 65 and above, female (% of female population)"
SPPOP65UPMAIN,"Population ages 65 and above, male"
SPPOP65UPMAZS,"Population ages 65 and above, male (% of male population)"
SPPOP65UPTO,"Population ages 65 and above, total"
SPPOP6569FE,"Population ages 65-69, female"
SPPOP6569FE5Y,"Population ages 65-69, female (% of female population)"
SPPOP6569MA,"Population ages 65-69, male"
SPPOP6569MA5Y,"Population ages 65-69, male (% of male population)"
SPPOP7074FE,"Population ages 70-74, female"
SPPOP7074FE5Y,"Population ages 70-74, female (% of female population)"
SPPOP7074MA,"Population ages 70-74, male"
SPPOP7074MA5Y,"Population ages 70-74, male (% of male population)"
SPPOP7579FE,"Population ages 75-79, female"
SPPOP7579FE5Y,"Population ages 75-79, female (% of female population)"
SPPOP7579MA,"Population ages 75-79, male"
SPPOP7579MA5Y,"Population ages 75-79, male (% of male population)"
SPPOP80UPFE,"Population ages 80 and above, female"
SPPOP80UPMA,"Population ages 80 and above, male"
SPPOP80UPMA5Y,"Population ages 80 and above, male (% of male population)"
SPPOP80UPFE5Y,"Population ages 80 and older, female (% of female population)"
SPPOPGROW,Population growth (annual %)
SPPOPTOTLFEIN,"Population, female"
SPPOPTOTLFEZS,"Population, female (% of total population)"
SPPOPTOTLMAIN,"Population, male"
SPPOPTOTLMAZS,"Population, male (% of total population)"
SPPOPTOTL,"Population, total"
SHDYN1014,"Probability of dying among adolescents ages 10-14 years (per 1,000)"
SHDYN1519,"Probability of dying among adolescents ages 15-19 years (per 1,000)"
SHDYN0509,"Probability of dying among children ages 5-9 years (per 1,000)"
SHDYN2024,"Probability of dying among youth ages 20-24 years (per 1,000)"
SPRURTOTL,Rural population
SPRURTOTLZS,Rural population (% of total population)
SPRURTOTLZG,Rural population growth (annual %)
SPPOPBRTHMF,Sex ratio at birth (male births per female births)
SPURBTOTL,Urban population
SPURBTOTLINZS,Urban population (% of total population)
SPURBGROW,Urban population growth (annual %)
SGAPLPSPTEQ,A woman can apply for a passport in the same way as a man (1=yes; 0=no)
SGHLDHEADEQ,A woman can be head of household in the same way as a man (1=yes; 0=no)
SGLOCLIVEEQ,A woman can choose where to live in the same way as a man (1=yes; 0=no)
SGGETJOBSEQ,A woman can get a job in the same way as a man (1=yes; 0=no)
SGOBTDVRCEQ,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no)
SGOPNBANKEQ,A woman can open a bank account in the same way as a man (1=yes; 0=no)
SGBUSREGTEQ,A woman can register a business in the same way as a man (1=yes; 0=no)
SGCNTSIGNEQ,A woman can sign a contract in the same way as a man (1=yes; 0=no)
SGHMETRVLEQ,A woman can travel outside her home in the same way as a man (1=yes; 0=no)
SGCTRTRVLEQ,A woman can travel outside the country in the same way as a man (1=yes; 0=no)
SGNGTWORKEQ,A woman can work at night in the same way as a man (1=yes; 0=no)
SGDNGWORKDNEQ,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no)
SGINDWORKEQ,A woman can work in an industrial job in the same way as a man (1=yes; 0=no)
SGREMRIGTEQ,A woman has the same rights to remarry as a man (1=yes; 0=no)
SHHIVARTCFEZS,"Access to anti-retroviral drugs, female (%)"
SHHIVARTCMAZS,"Access to anti-retroviral drugs, male (%)"
FXOWNTOTLZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
FXOWNTOTLFEZS,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
FXOWNTOTLMAZS,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
SEPRMTENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
SEPRMTENRFE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
SEPRMTENRMA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
SPADOTFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
SPDYNSMAMFE,"Age at first marriage, female"
SPDYNSMAMMA,"Age at first marriage, male"
SHSTABRTCZS,Births attended by skilled health staff (% of total)
fin23td,Borrowed any money in the past year (% age 15+)
fin23td2,"Borrowed any money in the past year, female (% age 15+)"
fin23td1,"Borrowed any money in the past year, male  (% age 15+)"
fin22a14a,Borrowed for education or school fees (% age 15+)
fin22a14a2,"Borrowed for education or school fees, female  (% age 15+)"
fin22a14a1,"Borrowed for education or school fees, male  (% age 15+)"
fin20bta,Borrowed for health or medical purposes (% age 15+)
fin20bta2,"Borrowed for health or medical purposes, female  (% age 15+)"
fin20bta1,"Borrowed for health or medical purposes, male  (% age 15+)"
fin22ata,Borrowed from a financial institution (% age 15+)
fin22atd,Borrowed from a financial institution or used a credit card (% age 15+)
fin22atd2,"Borrowed from a financial institution or used a credit card, female (% age 15+)"
fin22atd1,"Borrowed from a financial institution or used a credit card, male (% age 15+)"
fin22ata2,"Borrowed from a financial institution, female (% age 15+)"
fin22ata1,"Borrowed from a financial institution, male (% age 15+)"
fin22ca,Borrowed from a savings club (% age 15+)
fin22ca2,"Borrowed from a savings club, female (% age 15+)"
fin22ca1,"Borrowed from a savings club, male  (% age 15+)"
fin21bt14a,Borrowed from a store by buying on credit (% age 15+)
fin21bt14a2,"Borrowed from a store by buying on credit, female (% age 15+)"
fin21bt14a1,"Borrowed from a store by buying on credit, male (% age 15+)"
fin22bta,Borrowed from family or friends (% age 15+)
fin22bta2,"Borrowed from family or friends, female (% age 15+)"
fin22bta1,"Borrowed from family or friends, male  (% age 15+)"
fin21ta,"Borrowed to start, operate, or expand a farm or business (% age 15+)"
fin21ta2,"Borrowed to start, operate, or expand a farm or business, female (% age 15+)"
fin21ta1,"Borrowed to start, operate, or expand a farm or business, male (% age 15+)"
SHDTHCOMMZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
SHDTHCOMM0004ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 0-4 (% of population ages 0-4)"
SHDTHCOMM0004FEZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 0-4, female (% of female population ages 0-4)"
SHDTHCOMM0004MAZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 0-4, male (% of male population ages 0-4)"
SHDTHCOMM1559ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-59 (% of population ages 15-59)"
SHDTHCOMM1559FEZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-59, female (% of female population ages 15-59)"
SHDTHCOMM1559MAZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-59, male (% of male population ages 15-59)"
SHDTHCOMM0514ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 5-14 (% of population ages 5-14)"
SHDTHCOMM0514FEZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 5-14, female (% of female population ages 5-14)"
SHDTHCOMM0514MAZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 5-14, male (% of male population ages 5-14)"
SHDTHCOMM60UPZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 60+ (% of population ages 60+)"
SHDTHCOMM60UPFEZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 60+, female (% of female population ages 60+)"
SHDTHCOMM60UPMAZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 60+, male (% of male population ages 60+)"
SHDTHCOMMFEZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, female (% of female population)"
SHDTHCOMMMAZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, male (% of male population)"
SHDTHINJRZS,"Cause of death, by injury (% of total)"
SHDTHINJR0004ZS,"Cause of death, by injury, ages 0-4 (% of population ages 0-4)"
SHDTHINJR0004FEZS,"Cause of death, by injury, ages 0-4, female (% of female population ages 0-4)"
SHDTHINJR0004MAZS,"Cause of death, by injury, ages 0-4, male (% of male population ages 0-4)"
SHDTHINJR1559ZS,"Cause of death, by injury, ages 15-59 (% of population ages 15-59)"
SHDTHINJR1559FEZS,"Cause of death, by injury, ages 15-59, female (% of female population ages 15-59)"
SHDTHINJR1559MAZS,"Cause of death, by injury, ages 15-59, male (% of male population ages 15-59)"
SHDTHINJR0514ZS,"Cause of death, by injury, ages 5-14 (% of population ages 5-14)"
SHDTHINJR0514FEZS,"Cause of death, by injury, ages 5-14, female (% of female population ages 5-14)"
SHDTHINJR0514MAZS,"Cause of death, by injury, ages 5-14, male (% of male population ages 5-14)"
SHDTHINJR60UPZS,"Cause of death, by injury, ages 60+ (% of population ages 60+)"
SHDTHINJR60UPFEZS,"Cause of death, by injury, ages 60+, female (% of female population ages 60+)"
SHDTHINJR60UPMAZS,"Cause of death, by injury, ages 60+, male (% of male population ages 60+)"
SHDTHINJRFEZS,"Cause of death, by injury, female (% of female population)"
SHDTHINJRMAZS,"Cause of death, by injury, male (% of male population)"
SHDTHNCOMZS,"Cause of death, by non-communicable diseases (% of total)"
SHDTHNCOM0004ZS,"Cause of death, by non-communicable diseases, ages 0-4 (% of population ages 0-4)"
SHDTHNCOM0004FEZS,"Cause of death, by non-communicable diseases, ages 0-4, female (% of female population ages 0-4)"
SHDTHNCOM0004MAZS,"Cause of death, by non-communicable diseases, ages 0-4, male (% of male population ages 0-4)"
SHDTHNCOM1559ZS,"Cause of death, by non-communicable diseases, ages 15-59 (% of population ages 15-59)"
SHDTHNCOM1559FEZS,"Cause of death, by non-communicable diseases, ages 15-59, female (% of female population ages 15-59)"
SHDTHNCOM1559MAZS,"Cause of death, by non-communicable diseases, ages 15-59, male (% of male population ages 15-59)"
SHDTHNCOM0514ZS,"Cause of death, by non-communicable diseases, ages 5-14 (% of population ages 5-14)"
SHDTHNCOM0514FEZS,"Cause of death, by non-communicable diseases, ages 5-14, female (% of female population ages 5-14)"
SHDTHNCOM0514MAZS,"Cause of death, by non-communicable diseases, ages 5-14, male (% of male population ages 5-14)"
SHDTHNCOM60UPZS,"Cause of death, by non-communicable diseases, ages 60+ (% of population ages 60+)"
SHDTHNCOM60UPFEZS,"Cause of death, by non-communicable diseases, ages 60+, female (% of female population ages 60+)"
SHDTHNCOM60UPMAZS,"Cause of death, by non-communicable diseases, ages 60+, male (% of male population ages 60+)"
SHDTHNCOMFEZS,"Cause of death, by non-communicable diseases, female (% of female population)"
SHDTHNCOMMAZS,"Cause of death, by non-communicable diseases, male (% of male population)"
SLTLF0714FEZS,"Children in employment, female (% of female children ages 7-14)"
SLTLF0714MAZS,"Children in employment, male (% of male children ages 7-14)"
SLTLF0714ZS,"Children in employment, total (% of children ages 7-14)"
SEPRMUNERZS,Children out of school (% of primary school age)
SEPRMUNER,"Children out of school, primary"
SEPRMUNERFE,"Children out of school, primary, female"
SEPRMUNERMA,"Children out of school, primary, male"
fin24bta,Coming up with emergency funds: not possible (% age 15+)
fin24bta2,"Coming up with emergency funds: not possible, female  (% age 15+)"
fin24bta1,"Coming up with emergency funds: not possible, male (% age 15+)"
fin24ata,Coming up with emergency funds: possible (% age 15+)
fin24ata2,"Coming up with emergency funds: possible, female (% age 15+)"
fin24ata1,"Coming up with emergency funds: possible, male (% age 15+)"
SPREGBRTHZS,Completeness of birth registration (%)
SPREGBRTHFEZS,"Completeness of birth registration, female (%)"
SPREGBRTHMAZS,"Completeness of birth registration, male (%)"
SPDYNCONUZS,"Contraceptive prevalence, any method (% of married women ages 15-49)"
SPDYNCONMZS,"Contraceptive prevalence, any modern method (% of married women ages 15-49)"
ICREGCOSTPCZS,Cost of business start-up procedures (% of GNI per capita)
ICREGCOSTPCFEZS,"Cost of business start-up procedures, female (% of GNI per capita)"
ICREGCOSTPCMAZS,"Cost of business start-up procedures, male (% of GNI per capita)"
fin7ta,Credit card ownership (% age 15+)
fin7ta2,"Credit card ownership, female  (% age 15+)"
fin7ta1,"Credit card ownership, male (% age 15+)"
SGPENSXHREM,Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no)
fin2ta,Debit card ownership (% age 15+)
fin2ta2,"Debit card ownership, female (% age 15+)"
fin2ta1,"Debit card ownership, male  (% age 15+)"
SGDMKHLTHHBZS,Decision maker about a woman's own health care: mainly husband (% of women age 15-49)
SGDMKHLTHWFZS,Decision maker about a woman's own health care: mainly wife (% of women age 15-49)
SGDMKHLTHOTZS,Decision maker about a woman's own health care: other (% of women age 15-49)
SGDMKHLTHSEZS,Decision maker about a woman's own health care: someone else (% of women age 15-49)
